ts_code,trade_date,pre_close,pre_settle,open,high,low,close,settle,change1,change2,vol,amount,oi,oi_chg,MA5,MA20,RSI,MACD,BB_Upper,BB_Lower,signal
AO2507.SHF,20250715,3195.0,3195.0,3290.0,3290.0,3290.0,3290.0,3290.0,95.0,95.0,15.0,98.7,1245.0,0.0,,,,,,,hold
AO2507.SHF,20250714,3190.0,3195.0,,,,3195.0,3195.0,0.0,0.0,0.0,0.0,1245.0,0.0,,,,,,,hold
AO2507.SHF,20250711,3256.0,3249.0,3200.0,3200.0,3190.0,3190.0,3195.0,-59.0,-54.0,30.0,191.7,1245.0,-15.0,,,,,,,hold
AO2507.SHF,20250710,3271.0,3304.0,3242.0,3256.0,3242.0,3256.0,3249.0,-48.0,-55.0,30.0,194.94,1260.0,-15.0,,,,,,,hold
AO2507.SHF,20250709,3352.0,3340.0,3354.0,3354.0,3271.0,3271.0,3304.0,-69.0,-36.0,135.0,892.26,1275.0,-105.0,3240.4,,,,,,hold
AO2507.SHF,20250708,3264.0,3187.0,3241.0,3401.0,3224.0,3352.0,3340.0,165.0,153.0,765.0,5110.59,1380.0,-345.0,3252.8,,,,,,hold
AO2507.SHF,20250707,3150.0,3160.0,3134.0,3264.0,3134.0,3264.0,3187.0,104.0,27.0,585.0,3728.88,1725.0,-165.0,3266.6,,,,,,hold
AO2507.SHF,20250704,3150.0,3152.0,3151.0,3182.0,3149.0,3150.0,3160.0,-2.0,8.0,315.0,1991.07,1890.0,-135.0,3258.6,,,,,,hold
AO2507.SHF,20250703,3169.0,3084.0,3155.0,3174.0,3133.0,3150.0,3152.0,66.0,68.0,360.0,2269.8,2025.0,-135.0,3237.4,,,,,,hold
AO2507.SHF,20250702,3065.0,3071.0,3065.0,3169.0,3050.0,3169.0,3084.0,98.0,13.0,675.0,4163.97,2160.0,-450.0,3217.0,,,,,,hold
AO2507.SHF,20250701,3106.0,3106.0,3100.0,3100.0,3047.0,3065.0,3071.0,-41.0,-35.0,915.0,5620.47,2610.0,-315.0,3159.6,,,,,,hold
AO2507.SHF,20250630,3086.0,3075.0,3106.0,3120.0,3083.0,3106.0,3106.0,31.0,31.0,3624.0,22513.86,2925.0,-2103.0,3128.0,,,,,,hold
AO2507.SHF,20250627,3034.0,3028.0,3030.0,3097.0,3030.0,3086.0,3075.0,58.0,47.0,4055.0,24941.884,5028.0,-1364.0,3115.2,,,,,,hold
AO2507.SHF,20250626,3019.0,3001.0,3027.0,3043.0,3014.0,3034.0,3028.0,33.0,27.0,5775.0,34984.39,6392.0,-2449.0,3092.0,,,,,,hold
AO2507.SHF,20250625,2998.0,3002.0,2997.0,3021.0,2987.0,3019.0,3001.0,17.0,-1.0,6864.0,41202.49,8841.0,-3272.0,3062.0,,,,,,hold
AO2507.SHF,20250624,3000.0,3003.0,3009.0,3017.0,2986.0,2998.0,3002.0,-5.0,-1.0,16041.0,96319.03,12113.0,-35.0,3048.6,,,,,,hold
AO2507.SHF,20250623,2995.0,2998.0,3001.0,3038.0,2980.0,3000.0,3003.0,2.0,5.0,13128.0,78847.94,12148.0,-1371.0,3027.4,,,,,,hold
AO2507.SHF,20250620,3001.0,3000.0,3005.0,3030.0,2973.0,2995.0,2998.0,-5.0,-2.0,15115.0,90634.49,13519.0,-878.0,3009.2,,,,,,hold
AO2507.SHF,20250619,3013.0,2977.0,3010.0,3026.0,2978.0,3001.0,3000.0,24.0,23.0,16364.0,98192.09,14397.0,650.0,3002.6,,,,,,hold
AO2507.SHF,20250618,2912.0,2909.0,2915.0,3029.0,2908.0,3013.0,2977.0,104.0,68.0,31570.0,188005.93,13747.0,-2264.0,3001.4,3130.2,30.968453708567367,,3353.7599248523757,2906.640075147624,hold
AO2507.SHF,20250617,2909.0,2906.0,2910.0,2926.0,2895.0,2912.0,2909.0,6.0,3.0,8314.0,48374.38,16011.0,-1169.0,2984.2,3111.3,24.841494339456162,,3341.4417823864237,2881.1582176135767,hold
AO2507.SHF,20250616,2908.0,2922.0,2910.0,2924.0,2887.0,2909.0,2906.0,-13.0,-16.0,11552.0,67151.31,17180.0,-753.0,2966.0,3097.0,24.688772462801467,,3339.757492160386,2854.242507839614,hold
AO2507.SHF,20250613,2938.0,2939.0,2940.0,2979.0,2881.0,2908.0,2922.0,-31.0,-17.0,32940.0,192558.47,17933.0,-1234.0,2948.6,3082.9,24.635629918142087,,3334.9919673452528,2830.8080326547474,hold
AO2507.SHF,20250612,2936.0,2937.0,2940.0,2957.0,2920.0,2938.0,2939.0,1.0,2.0,12541.0,73717.9,19167.0,-981.0,2936.0,3067.0,29.432368388791247,,3313.4662248666127,2820.5337751333873,hold
AO2507.SHF,20250611,2938.0,2947.0,2944.0,2961.0,2914.0,2936.0,2937.0,-11.0,-10.0,14112.0,82912.04,20148.0,-49.0,2920.6,3050.25,29.301493939879705,,3284.1994603541534,2816.3005396458466,hold
AO2507.SHF,20250610,2946.0,2935.0,2974.0,2974.0,2931.0,2938.0,2947.0,3.0,12.0,17699.0,104341.01,20197.0,-1572.0,2925.8,3029.55,29.630867132462782,,3222.7540113455198,2836.3459886544806,hold
AO2507.SHF,20250609,2940.0,2970.0,2940.0,2980.0,2900.0,2946.0,2935.0,-24.0,-35.0,37540.0,220383.7,21769.0,-1015.0,2933.2,3013.65,30.98468387381942,,3177.1104233446117,2850.1895766553885,hold
AO2507.SHF,20250606,2972.0,3019.0,2982.0,3013.0,2918.0,2940.0,2970.0,-79.0,-49.0,48262.0,286760.87,22784.0,-1650.0,2939.6,3003.15,30.52111345802696,,3156.919015084313,2849.3809849156873,hold
AO2507.SHF,20250605,3085.0,3071.0,3099.0,3099.0,2960.0,2972.0,3019.0,-99.0,-52.0,54340.0,328140.59,24434.0,-83.0,2946.4,2994.25,35.90468000152953,,3132.847077891273,2855.652922108727,hold
AO2507.SHF,20250604,3056.0,3060.0,3056.0,3106.0,3032.0,3085.0,3071.0,25.0,11.0,48986.0,300917.18,24517.0,1285.0,2976.2,2990.05,50.23731140198174,,3111.203580219487,2868.8964197805135,hold
AO2507.SHF,20250603,3019.0,3010.0,3166.0,3166.0,3026.0,3056.0,3060.0,46.0,50.0,35935.0,219927.31,23232.0,-1755.0,2999.8,2989.6,47.37544806178942,,3109.698959196154,2869.5010408038456,buy
AO2507.SHF,20250530,3003.0,3004.0,3016.0,3035.0,2983.0,3019.0,3010.0,15.0,6.0,49161.0,295964.22,24987.0,-4248.0,3014.4,2985.25,44.008480031943165,,3093.929114828929,2876.570885171071,hold
AO2507.SHF,20250529,3063.0,3087.0,3055.0,3059.0,2973.0,3003.0,3004.0,-84.0,-83.0,92997.0,558765.29,29235.0,4404.0,3027.0,2981.1,42.629399798840275,,3079.9694088178926,2882.230591182107,hold
